1|1|komentar1|3|07-Mar-23 00:00:00
2|1|kom|5|07-Aug-22 00:00:00
3|1|komentarcic|2|07-Aug-22 00:00:00
4|2|comm|2|07-Aug-22 00:00:00
5|2|comm|2|07-Aug-21 00:00:00
6|2|comm|2|11-Jan-23 00:00:00
7|3|comm|5|11-Feb-23 00:00:00
8|4|comm|5|11-Feb-22 00:00:00
9|5|comm|3|11-Feb-21 00:00:00
10|6|comm|4|11-Feb-23 00:00:00
11|1|komentar1|3|07-Mar-22 00:00:00
12|1|kom|5|07-Aug-21 00:00:00
13|1|komentarcic|2|07-Aug-21 00:00:00
14|2|comm|2|07-Aug-21 00:00:00
15|2|comm|2|07-Aug-19 00:00:00
16|2|comm|2|11-Jan-18 00:00:00
17|3|comm|5|11-Feb-18 00:00:00
18|4|comm|5|11-Feb-19 00:00:00
19|5|comm|3|11-Feb-18 00:00:00
20|6|comm|4|11-Feb-20 00:00:00
21|1|komentar1|3|07-Mar-19 00:00:00
22|1|kom|5|07-Aug-20 00:00:00
23|1|komentarcic|2|07-Aug-20 00:00:00
24|2|comm|2|07-Aug-19 00:00:00
25|2|comm|2|07-Aug-20 00:00:00
26|2|comm|2|11-Jan-19 00:00:00
27|3|comm|5|11-Feb-20 00:00:00
28|4|comm|5|11-Feb-21 00:00:00
29|5|comm|3|11-Feb-20 00:00:00
30|6|comm|4|11-Jan-22 00:00:00
31|6|comm|4|11-Jun-23 00:00:00
32|6|comm|4|11-Sep-23 00:00:00
33|6|comm|4|11-Apr-19 00:00:00
34|1|treba|5|17-May-23 00:00:00
